2021-02-02,10:50:38,UV OFF
2021-02-02,10:50:48,UV OFF
2021-02-02,11:02:24,UV OFF
2021-02-02,11:02:35,UV OFF
2021-02-02,11:10:43,UV OFF
2021-02-02,11:13:40,UV OFF
2021-02-02,11:13:51,UV OFF
2021-02-02,11:14:56,UV OFF
2021-02-02,11:15:07,UV OFF
2021-02-02,12:28:00,UV OFF
2021-02-02,16:17:15,UV OFF
2021-02-02,16:17:25,UV OFF
2021-02-03,09:17:15,UV OFF
2021-02-03,09:17:25,UV OFF
2021-02-03,09:17:15,UV OFF
2021-02-03,09:17:26,UV OFF
2021-02-05,14:17:17,UV OFF
2021-02-05,14:17:27,UV OFF
2021-02-06,20:17:15,UV OFF
2021-02-06,20:17:26,UV OFF
2021-02-07,12:17:16,UV OFF
2021-02-07,12:17:26,UV OFF
2021-02-08,06:17:16,UV OFF
2021-02-08,06:17:26,UV OFF
2021-02-09,04:17:16,UV OFF
2021-02-09,04:17:26,UV OFF
2021-02-09,08:17:16,UV OFF
2021-02-09,08:17:27,UV OFF
2021-02-09,08:17:16,UV OFF
2021-02-09,08:17:26,UV OFF
2021-02-09,08:17:16,UV OFF
2021-02-09,08:17:26,UV OFF
2021-02-09,09:17:16,UV OFF
2021-02-09,09:17:26,UV OFF
2021-02-12,00:17:16,UV OFF
2021-02-12,00:17:26,UV OFF
2021-02-15,07:17:15,UV OFF
2021-02-15,07:17:26,UV OFF
2021-02-19,00:17:16,UV OFF
2021-02-19,00:17:26,UV OFF
